CustomerID,FullName,Gender,DOB,City,Country,Email,Phone,JoinDate
CUST075,Mary-Ann Bello,Female,09/04/1980,Enugu,Nigeria,davidokoro@yahoo,,17/04/2021
CUST076,Joy Uche,Female,29/06/1979,Enugu,Nigeria,sarahmusa@gmail.com,8126882530,26/12/2019
CUST077,Sarah Musa,MALE,25/07/1989,Kano,Nigeria,davidokoro@yahoo,,05/08/2022
CUST078,Mary-Ann Bello,MALE,20/07/1994,Enugu,Nigeria,davidokoro@yahoo,,22/01/2017
CUST079,Peter Johnson,MALE,26/05/1978,ENUGU,Nigeria,joyuche@Gmail.com,8128427651,21/07/2019
CUST080,Chioma Eze,Male,01/04/2002,Enugu,Nigeria,davidokoro@yahoo,8124222364,12/09/2021
CUST081,Joy Uche,FEMALE,27/10/1986,Benin City,Nigeria,joyuche@Gmail.com,8122578140,20/09/2017
CUST082,Mary Ann,Male,07/08/2004,ibadan,Nigeria,davidokoro@yahoo,2.3481E+12,29/01/2018
CUST083,Sarah Musa,MALE,16/08/1979,lagoss,Nigeria,chiomaeze@gmail.com,8126676499,03/01/2023
CUST084,Joy Uche,MALE,02/10/1991,ibadan,Nigeria,sarahmusa@gmail.com,,10/09/2021
CUST085,Mary-Ann Bello,MALE,14/03/1994,lagoss,Nigeria,sarahmusa@gmail.com,,15/02/2018
CUST086,Sarah Musa,Female,20/07/1989,Benin City,Nigeria,sarahmusa@gmail.com,8128165288,14/03/2021
CUST087,Joy Uche,MALE,07/02/1989,ibadan,Nigeria,michael.adeyemi@gmail.com,8125571691,28/05/2019
CUST088,Sarah Musa,Female,11/04/1989,Ibadan,Nigeria,davidokoro@yahoo,8124754880,18/01/2017
CUST089,Michael Adeyemi,Male,08/04/1989,lagoss,Nigeria,davidokoro@yahoo,2.34805E+12,21/03/2018
CUST090,Mary Ann,FEMALE,13/03/1979,Port Harcourt,Nigeria,johndoe@gmail.com,2.34801E+12,22/10/2022
CUST091,Joy Uche,FEMALE,15/11/1993,Ibadan,Nigeria,peter.johnsongmail.com,2.34801E+12,25/11/2021
CUST092,Mary-Ann Bello,Male,14/01/1986,Kano,Nigeria,johndoe@gmail.com,,14/01/2019
CUST093,Mary Ann,Female,30/11/1985,Enugu,Nigeria,sarahmusa@gmail.com,,09/08/2019
CUST094,Chioma Eze,FEMALE,11/10/1996,Abjua,Nigeria,sarahmusa@gmail.com,8127328640,04/03/2021
CUST095,Michael Adeyemi,Male,13/02/1986,ibadan,Nigeria,joyuche@Gmail.com,2.34808E+12,18/09/2019
CUST096,Chioma Eze,Female,20/05/2005,Port Harcourt,Nigeria,maryann@gmail..com,8129102918,23/08/2023
CUST097,John Doe,Male,10/02/1988,Benin City,Nigeria,joyuche@Gmail.com,,03/12/2020
CUST098,David Okoro,MALE,17/04/1977,Abjua,Nigeria,peter.johnsongmail.com,8128902772,22/06/2017
CUST099,Michael Adeyemi,MALE,22/11/1989,Ibadan,Nigeria,sarahmusa@gmail.com,8121693205,07/12/2018
CUST100,Sarah Musa,MALE,07/12/1995,Abjua,Nigeria,joyuche@Gmail.com,2.34805E+12,23/12/2023
